Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.0658197,225.1422243,224.9593404,236.1637652,238.3430362,238.3267308,231.0561799,226.7251945,225.5762909,225.6913614,219.5896306,218.6520662,211.548478,214.3632891,212.9406336,202.8431668,193.6389003,189.485246,192.461071,193.1701146,185.6456613,182.1315019,181.9402299,178.5011493,176.334851,,,,,,,,
Afghanistan,AFG,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.2369282,180.4709115,182.3972422,188.6833277,186.9524665,188.7379549,189.0909429,187.4724126,183.9438737,189.8128165,184.5747839,183.8762037,173.1641117,171.6244529,163.3418445,160.8311431,155.0812812,152.1499169,151.310849,142.3466456,142.2252885,142.323881,142.3291608,136.7516753,130.1354987,,,,,,,,
Angola,AGO,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.21996894,87.41806698,93.35591902,127.1897435,127.224569,110.5417046,100.1801666,95.42068991,90.91498094,93.45481716,93.15083666,93.32431452,85.89598633,89.99856222,83.4569566,70.11374209,68.9619147,64.51991568,62.82124369,67.68888507,67.71244968,67.97022033,68.72122273,65.56259402,66.09058801,,,,,,,,
Albania,ALB,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.4790498,163.8213449,128.1189063,114.5871841,112.5168734,93.26266284,91.23112172,87.40144726,88.54024083,105.2415611,98.51247734,92.72200603,97.72837443,90.60199726,94.37995471,89.49934655,82.49436867,74.30064113,71.70455334,71.00264402,67.83145916,69.2103039,61.2662142,70.53160382,69.77353399,,,,,,,,
Andorra,AND,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.1901706,103.9684422,109.1619961,114.5203434,117.8300422,117.0031595,116.1115155,114.7539327,109.8885621,108.8641412,106.5580766,112.632759,117.5865423,113.7334324,111.3717396,111.5136809,112.942057,112.9177797,115.2077735,121.263419,123.2377406,120.5152106,124.768874,121.5302489,123.336221,,,,,,,,
United Arab Emirates,ARE,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.5042653,115.7355035,106.5972327,110.7156502,114.761997,114.3019032,114.0672623,111.3734379,113.560705,112.6880916,99.38586134,125.0036966,121.0423511,109.4531079,106.5728796,108.062196,102.1423548,107.4370816,123.1734724,131.3787315,133.0522448,129.7680533,131.6564698,128.1768074,123.9745587,,,,,,,,
Argentina,ARG,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.83764961,94.30457053,91.88215861,85.16081032,85.597038,89.37326222,87.81795604,83.83026179,83.48310249,87.88843291,89.6376333,89.20102894,97.29496038,95.65188019,95.83825944,88.57382053,89.18436488,82.87469169,83.86803564,86.67967367,81.99609724,79.19832903,80.30242459,80.53597644,86.19593575,,,,,,,,
Armenia,ARM,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.5641372,502.0462971,438.5471568,255.2436622,152.2620914,169.9243481,173.8250549,175.8688745,166.9366421,156.2497019,162.1213284,147.2707465,121.7067528,112.7253357,107.8600083,113.5733329,102.1780854,100.2016624,98.70264627,99.83003984,92.93658448,97.0708503,99.05502673,93.6235493,92.18917862,,,,,,,,
American Samoa,ASM,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.2341095,,,,,,,,,,,,,,89.64203754,85.43889762,79.12537675,73.90117232,,,,,,,,,,,,,,,
Australia,AUS,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.2420755,161.5867948,163.9002219,165.1138803,158.681862,155.798712,159.8306763,157.7349366,154.7000097,150.6101818,147.5755189,141.4675783,140.8066457,138.2316018,134.8919871,131.7003968,133.4885467,133.0397843,133.2074412,131.1993548,128.8349905,126.532011,120.2591476,116.9843912,112.9265598,115.2845025,,,,,,,
Austria,AUT,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.41550464,88.93755401,83.70431317,84.21878992,82.02043258,83.45258401,86.65234647,84.25926447,82.72442481,79.71061129,76.83472136,80.17372991,79.58053886,83.42146866,82.40387197,82.72552182,80.22731138,76.46883884,75.84065597,74.42871314,78.14290356,73.74884145,72.92596761,73.94736827,71.09619716,71.87482656,,,,,,,
Azerbaijan,AZE,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.6494847,413.7059018,433.1287074,504.7290358,570.4498368,607.7233938,507.035924,461.71473,435.7236748,377.2991781,350.9881402,323.5818322,298.6401111,285.0183844,274.3352523,225.1373578,164.9649182,120.8091578,119.9707058,98.34737061,90.86287143,98.41649209,105.0009387,100.6029361,101.0279697,,,,,,,,
Burundi,BDI,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.4627883,138.9642621,138.3773406,136.4168462,140.2375184,139.4148257,144.9007312,139.61395,139.2004122,134.9758683,131.7715633,129.9766976,122.8217424,126.5831206,122.8136014,119.8824697,115.8693738,109.8357526,112.6450053,110.4133681,115.4716854,105.7487234,100.5060228,103.6719481,96.58162961,94.78625989,,,,,,,
Benin,BEN,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.4099497,149.436056,148.7250233,143.8271121,144.0434751,138.812706,154.9413233,152.035558,144.2581595,142.8535896,116.5226903,117.6462625,120.6009834,122.9595014,122.9262598,121.2818648,137.6769493,141.2325782,137.6307422,141.1288239,146.8317171,146.5252392,144.8182067,141.2101282,140.0574457,,,,,,,,
Burkina Faso,BFA,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.70265748,65.43891937,65.50613684,66.05102452,66.40368916,68.72668294,66.14224455,66.12638586,65.54192668,63.44832994,62.35064437,64.90871129,64.00587807,64.39262457,62.31919334,60.74090159,61.00915034,59.53694842,58.94464468,59.03429329,60.5603822,59.0117052,58.13347786,56.00016475,55.13588013,,,,,,,,
Bulgaria,BGR,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.8281855,219.3306532,221.0320134,240.5919128,229.1164257,241.7130063,228.4918775,241.1639226,223.6083514,223.198572,216.8041431,217.6273693,200.2978451,195.0506476,178.1227102,175.7698743,169.2116966,156.0086451,145.0259616,132.3568527,133.0737941,140.2420801,132.899992,123.1613623,129.0255229,,,,,,,,
Bahrain,BHR,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.4475008,241.9980354,249.5455373,233.0095429,248.2982022,241.9256365,232.2969605,254.0039062,254.6701386,241.9262218,242.657224,243.2985904,244.0974214,243.624258,228.5914871,245.8365365,247.3692829,239.0167726,243.8806689,230.9950725,228.8762256,224.4850924,214.4865516,222.0249605,219.840494,,,,,,,,
"Bahamas, The",BHS,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.14872544,,,,,,,,,,,,,,52.40728905,53.12907138,52.56932693,52.03983146,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.4818446,190.0380161,117.4691685,134.9480881,145.0892955,130.9996927,152.3608364,143.7553915,143.5911478,138.0179929,141.9101386,143.1426923,142.7979182,134.9996914,143.8995245,154.7258785,159.9078623,174.6201789,164.6951379,155.376228,186.2096604,,,,,,,,
Belarus,BLR,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501.9826657,495.0204679,456.9314972,421.1576277,405.0269317,418.183944,417.7418746,374.0409267,338.0135291,318.3203465,305.7690256,293.2099184,284.5582398,273.6681684,253.9455818,231.8909773,224.3970324,202.3885331,183.9128201,174.2698731,167.7449362,169.7180474,173.4669933,153.5971344,153.5919442,,,,,,,,
Belize,BLZ,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.94546683,,,,,,,,,,,,,,58.65953415,59.61952748,60.90042105,61.02642474,,,,,,,,,,,,,,,
Bermuda,BMU,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.89705285,81.18053343,84.59259314,86.73554597,91.21716984,97.79063523,100.7437249,104.6875491,100.7521504,98.59001679,107.5933919,82.32865502,96.30411175,97.47997744,93.68897973,97.85665749,116.8702634,91.06230662,91.2391398,91.9523162,96.19790986,96.56581272,105.6105529,99.42519277,100.6603484,,,,,,,,
