Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000878297,0.000734404,0.000575272,0.000491427,0.001552095,0.001633733,0.001379482,0.000925463,0.000937353,0.00116676,0.000819359,0.001002439,0.000848487,0.000717946,0.000703182,0.000712137,0.000657229,0.00069997,0.000685497,0.0006534,0.000940949,0.000918692,0.000949223,0.000967668,0.002361284,0.001948056,0.001972589,0.002236107,0.003235418,0.00238784,0.003343924,0.002826958,0.001874913,,,
Africa Eastern and Southern,AFE,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,,,,,,,,,,,1.65083621,1.365552446,1.338008451,1.599572591,1.530858865,1.92730982,1.803364118,2.531534141,2.501431068,2.300579145,2.132565364,2.36648881,3.327756786,2.19707686,2.252826601,2.297823277,2.985381434,2.589161726,2.62487842,2.648333718,2.788324025,2.675141065,3.166166942,2.764811785,3.234255919,4.125125644,4.163456101,3.721586878,4.063680266,2.784503403,2.640518473,2.829775771,3.3472035,3.899957118,2.72238085,2.505139592,2.327663304,2.822306249,3.149581613,3.111039244,2.324011581,2.494217995,2.883603052,2.974433707,3.257101314,3.707471774,4.161673401,3.659688219,2.418144608,2.497556724,2.829237263,
Afghanistan,AFG,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,,,,,,,,,,,0.285092593,0.344531632,0.397964352,0.768116118,0.80014136,0.812870515,0.773406219,0.602608672,0.750808819,0.571717712,0.593637273,0.443341413,,,,,,,,,,,,,,,,,,,,,0.959142384,0.664984576,0.388026077,0.332250892,0.453993505,0.342823374,0.353372604,0.274420607,0.359415505,0.309228784,0.26508087,0.26502925,0.267669074,0.301980808,0.351214676,0.287445621,0.300160885,0.332816377,0.378845517,
Africa Western and Central,AFW,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,,,,,,,,,,,2.786928592,2.887430753,2.900152286,3.775259235,2.942353048,3.185568323,2.600656435,3.818683302,3.783914421,3.223434678,3.079165285,1.399732656,2.000516397,1.97508645,2.184898757,1.733347226,2.88891686,2.799281042,3.006567265,3.360830798,3.746783411,3.630551355,3.74646509,4.17720681,5.589024613,6.354234846,5.34986125,4.924141267,4.90616301,3.309980633,3.372194111,3.063758944,3.087364141,3.962675031,2.664269114,2.381209641,2.010582581,2.367968346,2.427735253,2.607061661,2.061779242,2.073299457,2.20523073,2.026090685,2.163177907,2.483088526,2.913361138,3.019246388,2.006662842,1.847583943,1.954731939,
Angola,AGO,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,,,,,,,,,,,,,,,,,,,,,1.517933424,1.285520975,1.42108487,1.049220749,0.939873644,0.686541013,1.034296685,0.910114883,0.87480264,0.810890483,0.996747467,,,,3.717083964,2.973596582,2.127692258,1.943559541,2.385116778,2.117650978,1.432719455,1.417305808,0.99078634,1.155317618,0.684223792,0.499938777,0.394642222,0.407882076,0.402778952,0.471247152,0.380673756,0.326084204,0.325358418,0.311859245,0.316547805,0.39587338,0.482591717,0.431453797,0.422098329,0.448308973,0.708076382,
Albania,ALB,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,1.610236722,1.677311969,1.761327784,1.665098851,1.921556402,1.603298887,1.465279774,3.589563963,6.452502728,0.483340689,0.232064891,0.183282316,0.144202904,0.197605219,0.118174363,0.0806155,0.126636825,0.062644555,0.066551164,0.062998718,0.053996792,0.047887523,0.05415486,0.074771735,0.069714108,0.074808664,0.065976718,0.210223159,0.182521793,0.165152778,0.169255772,0.191365197,0.15702342,0.183385376,0.17992859,0.138103571,0.134493975,
Andorra,AND,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Arab World,ARB,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,,,,,,,,,,,0.215647443,0.186715952,0.164572779,0.184079622,0.112227939,0.119389823,0.077949049,0.11627858,0.126292422,0.08736824,0.077328667,0.072457773,0.155266302,0.113369482,0.110364384,0.053615508,0.124594248,0.117117422,0.124145972,0.120143389,0.087156745,0.100324141,0.08683813,0.066413734,0.064966861,0.089176645,0.084757539,0.076851538,0.108620302,0.053733602,0.038348705,0.045712091,0.04885772,0.061256942,0.048246589,0.038306247,0.039983729,0.033965191,0.045177149,0.050584012,0.050004474,0.098687825,0.111987755,0.134749864,0.174146207,0.206200754,0.23871594,0.272942691,0.095565645,0.116649087,0.135273238,
United Arab Emirates,ARE,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,,,,,,,,,,,,,,,,6.87E-05,5.12E-05,7.67E-05,0.000123099,8.97E-05,8.63E-05,8.72E-05,0.000253798,0.000211451,0.000237588,9.62E-05,0.000378527,0.000371455,0.000398782,0.000354713,0.000290644,0.000297036,0.000248537,0.000178948,0.000177978,0.000243267,0.000225019,0.00021575,0.000345584,0.000134547,0.000108195,0.000122976,0.000129308,0.00016485,0.000135463,0.000108347,0.000110888,8.87E-05,0.000128494,0.000156289,0.000164968,0.0001574,0.000160645,0.000135256,0.000212581,0.000218289,0.00017019,0.000194878,9.01E-05,0.00012351,0.000130357,
Argentina,ARG,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,,,,,,,,,,,0.086048194,0.096853367,0.108235845,0.10152031,0.086077897,0.156207188,0.161683501,0.166456263,0.172823148,0.246365536,0.199018876,0.16345763,0.200133829,0.152022292,0.13595594,0.098055928,0.095250471,0.124668423,0.113729709,0.247361274,0.141839328,0.099203712,0.097686915,0.089315085,0.067348923,0.096867186,0.084837955,0.066480868,0.059785795,0.05062771,0.040120325,0.039108568,0.19634832,0.142900638,0.106529555,0.098448507,0.099902397,0.095082351,0.086834987,0.099060393,0.118962539,0.082494042,0.092519883,0.109795256,0.098608981,0.099336125,0.115172367,0.122287596,0.142860008,0.154805338,0.177241046,
