Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,41.56,42.1,44.75,46.2,48.8,54.09,57.41,61.76,62.07,56.83,55.22,49.88,55.18,57.64,60.15,65.71,65.15,65.86,66.28,67.55,69.64,70.13,68.36,64.58,57.97,49.67,52.96,55.53,57.84,67.11,68.55,68.15,72.09,79.06,85.07,93.67,102.45,109.93,115.17,98.12,78.92,95.13,90.49,97.17,95.56,84.74,86.6,91.41,94.16,98.06,100.53,101.31,96.36,104.27,96.68,99.05,100.27,98.74,99.35,100.7,102.02,
Africa Western and Central,AFW,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,23.67,24.38,24.99,26.63,27.82,28.62,29.53,29.6,31.09,33.39,34.09,33.8,34.86,35.44,38.88,35.49,36.21,37.36,38.34,39.06,39.9,41.58,42.22,42.91,43.98,45.34,45.35,45.64,46.04,47.33,47.74,50.88,51.94,51.04,47.95,56.15,59.62,63.72,64.12,68.72,69.99,71.91,72.61,64.66,71.38,72.51,76.39,79.8,81.27,85.54,87.68,90.35,94.52,97.01,100.09,102.9,104.59,103.33,106.28,108.32,108.68,
Albania,ALB,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,22.9,23.22,23.12,22.73,23.48,24.23,27.48,25.58,25.85,26.54,28.09,27.5,28.76,29.59,29.79,31.7,32.47,35.85,37.14,38.11,39.77,39.87,40.26,38.91,38.37,37.94,40.41,44.13,46.51,50.94,49.71,55.89,60.09,70.83,80.11,81.47,71.99,73.28,77.45,81.77,83.59,85.95,89.26,92.38,89.68,91.24,94.73,87.15,87.71,89.63,93.28,96.54,98.36,98.21,100.25,101.54,100.97,105.59,99.01,94.28,88.06,
Andorra,AND,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,7.03,7.05,7.23,7.46,7.66,7.85,7.97,8.38,8.71,9.11,9.53,9.42,10.27,9.79,8.9,6.53,7.68,9.02,9.38,10.91,11.91,13.44,15.81,16.61,17.6,19.08,20.06,21.08,22.16,23.84,25.16,26.63,28.23,32.04,33.2,37.68,38.87,39.73,36.83,44,45.79,51.47,49.09,50.6,56.53,55.1,56.48,65.24,68.5,78.12,80.18,86.69,87.85,97.72,93.2,109.08,114.45,121.56,124.34,126.94,139.59,
Argentina,ARG,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,59.2,63.44,68.48,57.66,57.91,65.36,69.09,69.87,76.01,70.36,59.65,63.58,61.96,62.23,68.18,75.59,76.81,82.22,79.53,75.97,77.88,70.66,68.6,70.77,76.12,79.14,72.97,70.57,72.48,79.52,78.05,76.43,80.16,82.07,82.07,81.66,82.59,79.71,87.28,86.46,80.95,76.77,79.31,87.04,94.47,95.5,98.42,99.03,104.72,92.47,93.47,95.95,100.06,98.28,103.11,98.61,103.05,108.23,110.51,112.98,111.24,
