Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Africa Eastern and Southern,AFE,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,3.641898486,2.241730404,2.060262204,3.401173533,4.025735145,1.502354753,1.729203765,1.439557295,0.971003926,3.30370863,7.06833623,3.99243747,2.797195115,3.555363449,0.889191522,2.558963544,2.205790376,2.590940976,3.295243839,2.596119776,1.612707481,1.490646258,1.261695929,1.279284035,1.498113164,0.55537146,0.92703821,0.585888069,0.418479605,0.306990534,0.484378673,0.513858021,0.616492662,0.233865938,0.410861364,0.709725507,1.33494326,1.533863547,1.585721148,1.006650088,1.759510018,2.075080458,1.687959872,1.614641243,1.165533645,0.605278276,0.915278708,1.158516664,1.026350414,1.148516172,1.223661816,
Afghanistan,AFG,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.002364308,0.003002326,0.002078623,0.002797434,0,0,0,0,
Africa Western and Central,AFW,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,0.209126709,0.233306288,0.222485324,0.233165589,0.637010389,0.45312522,0.293330212,0.506691305,0.188036792,0.234410048,0.288571449,0.125354483,0.11770234,0.142735832,0.161253385,0.16605976,0.471965387,0.407652072,0.442307413,0.579492757,0.474068743,0.530756116,0.454144623,0.495544871,0.620365092,0.260889498,0.330764837,0.29748984,0.278695499,0.21045112,0.259042803,0.279056158,0.279094812,0.123883368,0.157220672,0.279193681,0.415920496,0.547929924,0.569185495,0.610486029,0.76951895,1.053522313,0.934834288,0.671572705,0.521293631,0.389809087,0.580920283,0.658132515,0.568966284,0.470828457,0.601371686,
Angola,AGO,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Albania,ALB,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,0.604964557,0.692259344,0.440841191,0.674238792,3.647668602,3.651131252,1.489163096,2.322708047,0.431830628,0.146794463,0.045027312,0.037183656,0.037460468,0.008600433,0.018331495,0.005672402,0,0,0,0,0.00996934,0.025123242,0.121229707,0.834611353,0.078706623,0.0418367,0.142023694,0.218928064,0.165774444,0.111634516,0.105381258,0.065794847,0.002694133,0,0.040868827,0.036392307,0.040452927,
Andorra,AND,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Arab World,ARB,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,0.175103034,0.137199606,0.113674054,0.162964919,0.931453087,0.708803885,0.258886501,0.521536302,0.104108145,0.117427274,0.124304829,0.144094617,0.126933446,0.117330352,0.080876058,0.109552783,0.064882573,0.033717695,0.176468277,0.051037785,0.034553381,0.018162492,0.024839972,0.020723073,0.031128446,0.02519462,0.020035157,0.016030976,0.01935102,0.011841579,0.011005643,0.012505504,0.013443326,0.005762028,0.042576183,0.073006311,0.092195553,0.153143123,0.528801244,0.423549936,0.381423001,0.517013135,0.453525909,0.321685601,0.267039774,0.223122624,0.29417556,0.33519414,0.20344957,0.060141728,0.086811964,
United Arab Emirates,ARE,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Argentina,ARG,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,0.025668335,0.017174775,0.025931809,0.055811007,0.06676958,0.029998885,0.038951493,0.043100832,0.031165752,0.059226066,0.065917911,0.03022265,0.018986992,0.02217359,0.028056467,0.022592436,0.011040217,0.012150902,0.187933736,0.296510963,0.060260074,0.012848552,0.00825223,0.002840283,0.004882287,0.006199642,0.005520495,0.004535792,0.014253867,0.02221461,0.002021818,0.001117857,0.199715933,0.189171967,0.226044886,0.208360823,0.549753245,0.430449635,0.308075257,0.298981723,0.522297944,0.516586876,0.431927721,0.230456677,0.238016412,0.076545742,0.145419704,0.10294947,0.184555056,0.182996141,0.262536724,
