,Country,Year,Annual Tree Cover Loss,Forest Cover
0,Guyana,2001,0.052502022,2506834.17
1,Guyana,2002,0.025239404,2506201.46
2,Guyana,2003,0.038911477,2505226.26
3,Guyana,2004,0.020974153,2504700.81
4,Guyana,2005,0.030156895,2503945.47
5,Guyana,2006,0.030679182,2503177.28
6,Guyana,2007,0.027203427,2502496.33
7,Guyana,2008,0.048867205,2501273.43
8,Guyana,2009,0.042304451,2500215.28
9,Guyana,2010,0.052458683,2498903.7
10,Guyana,2011,0.043318196,2497821.22
11,Guyana,2012,0.068781544,2496103.18
12,Guyana,2013,0.038215968,2495149.27
13,Guyana,2014,0.065032181,2493526.62
14,Guyana,2015,0.068315292,2491823.16
15,Guyana,2016,0.138988194,2488359.82
16,Guyana,2017,0.100220634,2485865.97
17,Guyana,2018,0.061878236,2484327.76
18,Guyana,2019,0.119233462,2481365.61
19,Guyana,2020,0.084767033,2479262.23
20,Guyana,2021,0.050530758,2478009.44
0,Suriname,2001,0.026130958,1818822.6
1,Suriname,2002,0.026670001,1818337.52
2,Suriname,2003,0.03188242,1817757.79
3,Suriname,2004,0.037160066,1817082.31
4,Suriname,2005,0.024729755,1816632.95
5,Suriname,2006,0.023908517,1816198.62
6,Suriname,2007,0.025117848,1815742.43
7,Suriname,2008,0.052935922,1814781.25
8,Suriname,2009,0.052763384,1813823.71
9,Suriname,2010,0.049889082,1812918.81
10,Suriname,2011,0.040483335,1812184.88
11,Suriname,2012,0.139030517,1809665.39
12,Suriname,2013,0.074038549,1808325.54
13,Suriname,2014,0.108775215,1806358.53
14,Suriname,2015,0.086883084,1804789.11
15,Suriname,2016,0.123176718,1802566.03
16,Suriname,2017,0.13106427,1800203.51
17,Suriname,2018,0.138669322,1797707.18
18,Suriname,2019,0.134356141,1795291.85
19,Suriname,2020,0.110208265,1793313.29
20,Suriname,2021,0.090370155,1791692.67
0,Gabon,2001,0.060610136,3210452.96
1,Gabon,2002,0.056368993,3208643.26
